"Statistic Label","Year","Age Group","Sex","Education Attainment Level","NUTS 2 Region","UNIT","VALUE"
"Annual employment rate","2019","All ages","Both sexes","Levels of Education (Levels  0-8)","Ireland","%","74.9"
"Annual employment rate","2019","All ages","Both sexes","Levels of Education (Levels  0-8)","Northern and Western","%","74"
"Annual employment rate","2019","All ages","Both sexes","Levels of Education (Levels  0-8)","Southern","%","72.8"
"Annual employment rate","2019","All ages","Both sexes","Levels of Education (Levels  0-8)","Eastern and Midland","%","76.6"
"Annual employment rate","2019","All ages","Both sexes","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","All ages","Both sexes","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","All ages","Both sexes","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","All ages","Both sexes","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Ireland","%","52.8"
"Annual employment rate","2019","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","55.7"
"Annual employment rate","2019","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Southern","%","49.6"
"Annual employment rate","2019","All ages","Both sexes","Primary and lower secondary education (Levels 1-2)","Eastern and Midland","%","53.9"
"Annual employment rate","2019","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Ireland","%","72.3"
"Annual employment rate","2019","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Northern and Western","%","73.1"
"Annual employment rate","2019","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Southern","%","71.7"
"Annual employment rate","2019","All ages","Both sexes","Upper secondary and post-secondary non-tertiary education (Levels 3 and 4)","Eastern and Midland","%","72.5"
"Annual employment rate","2019","All ages","Both sexes","Tertiary education (Levels 5-8)","Ireland","%","84.9"
"Annual employment rate","2019","All ages","Both sexes","Tertiary education (Levels 5-8)","Northern and Western","%","82.9"
"Annual employment rate","2019","All ages","Both sexes","Tertiary education (Levels 5-8)","Southern","%","83.7"
"Annual employment rate","2019","All ages","Both sexes","Tertiary education (Levels 5-8)","Eastern and Midland","%","86.2"
"Annual employment rate","2019","All ages","Both sexes","Level of education - not stated","Ireland","%","72.1"
"Annual employment rate","2019","All ages","Both sexes","Level of education - not stated","Northern and Western","%","74.4"
"Annual employment rate","2019","All ages","Both sexes","Level of education - not stated","Southern","%","68.4"
"Annual employment rate","2019","All ages","Both sexes","Level of education - not stated","Eastern and Midland","%","74.3"
"Annual employment rate","2019","All ages","Male","Levels of Education (Levels  0-8)","Ireland","%","81.3"
"Annual employment rate","2019","All ages","Male","Levels of Education (Levels  0-8)","Northern and Western","%","80.3"
"Annual employment rate","2019","All ages","Male","Levels of Education (Levels  0-8)","Southern","%","79.2"
"Annual employment rate","2019","All ages","Male","Levels of Education (Levels  0-8)","Eastern and Midland","%","82.9"
"Annual employment rate","2019","All ages","Male","Less than primary (Level 0)","Ireland","%",""
"Annual employment rate","2019","All ages","Male","Less than primary (Level 0)","Northern and Western","%",""
"Annual employment rate","2019","All ages","Male","Less than primary (Level 0)","Southern","%",""
"Annual employment rate","2019","All ages","Male","Less than primary (Level 0)","Eastern and Midland","%",""
"Annual employment rate","2019","All ages","Male","Primary and lower secondary education (Levels 1-2)","Ireland","%","64.1"
"Annual employment rate","2019","All ages","Male","Primary and lower secondary education (Levels 1-2)","Northern and Western","%","66.8"
